stream,meter,diameters (cm)
WS10,60,0.25
WS10,55,1.6
WS10,55,0.7
WS10,55,0.7
WS10,55,0.5
WS10,55,0.5
WS10,55,0.5
WS10,55,0.5
WS10,55,1.2
WS10,55,1
WS10,55,0.9
WS10,55,2.1
WS10,55,3.6
WS10,55,0.9
WS10,55,3.1
WS10,55,1
WS10,55,0.7
WS10,55,0.7
WS10,55,0.5
WS10,55,4.394904459
WS10,55,0.25
WS10,55,0.25
WS10,55,0.25
WS10,50,0.8
WS10,50,1.1
WS10,50,0.7
WS10,50,1
WS10,50,0.9
WS10,50,0.6
WS10,50,2.038216561
WS10,50,0.5
WS10,50,0.7
WS10,50,0.5
WS10,50,0.6
WS10,50,0.6
WS10,50,2.165605096
WS10,50,0.9
WS10,50,0.5
WS10,50,0.5
WS10,50,1
WS10,50,7.834394904
WS10,50,1
WS10,50,0.25
WS10,50,0.25
WS10,50,0.25
WS10,50,0.25
WS10,50,0.25
WS10,50,0.25
WS10,50,0.25
WS10,50,0.25
WS10,50,0.25
WS10,50,0.25
WS10,50,0.25
WS10,50,0.25
WS10,45,1.6
WS10,45,0.9
WS10,45,0.6
WS10,45,1.9
WS10,45,1.9
WS10,45,2.6
WS10,45,0.25
WS10,45,0.25
WS10,45,0.25
WS10,45,0.25
WS10,45,0.25
WS10,45,0
WS10,45,0
WS10,45,0
WS10,45,0
WS10,45,0
WS10,45,0
WS10,40,0.7
WS10,40,4.1
WS10,40,1.7
WS10,40,14.96815287
WS10,40,3.3
WS10,40,0.8
WS10,40,0.8
WS10,40,0
WS10,40,0
WS10,40,0
WS10,40,0
WS10,40,0
WS10,40,0
WS10,40,0
WS10,40,0
WS10,35,1
WS10,35,2
WS10,35,5.4
WS10,35,0.25
WS10,35,0.25
WS10,35,0
WS10,35,0
WS10,35,0
WS10,35,0
WS10,35,0
WS10,35,0
WS10,35,0
WS10,35,0
WS10,35,0
WS10,35,0
WS10,35,0
WS10,30,2.1
WS10,30,1.2
WS10,30,0.5
WS10,30,3.121019108
WS10,30,0.25
WS10,30,0.25
WS10,30,0
WS10,25,1
WS10,25,0.25
WS10,25,0.25
WS10,25,0
WS10,25,0
WS10,25,0
WS10,25,0
WS10,25,0
WS10,25,0
WS10,25,0
WS10,20,1.4
WS10,20,1.719745223
WS10,20,0
WS10,20,0
WS10,20,0
WS10,20,0
WS10,20,0
WS10,20,0
WS10,20,0
WS10,20,0
WS10,20,0
WS10,20,0
WS10,20,0
WS10,20,0
WS10,20,0
WS10,15,1.624203822
WS10,15,21.52866242
WS10,15,0.7
WS10,15,0
WS10,15,0
WS10,15,0
WS10,15,0
WS10,15,0
WS10,15,0
WS10,15,0
WS10,15,0
WS10,15,0
WS10,15,0
WS10,15,0
WS10,15,0
WS10,15,0
WS10,10,1.8
WS10,10,0.25
WS10,10,0.25
WS10,10,0.25
WS10,10,0.25
WS10,10,0.25
WS10,10,0.25
WS10,10,0.25
WS10,10,0.25
WS10,10,0.25
WS10,10,0
WS10,10,0
WS10,10,0
WS10,10,0
WS10,10,0
WS10,10,0
WS10,10,0
WS10,10,0
WS10,10,0
WS10,10,0
WS10,10,0
WS10,10,0
WS10,10,0
WS10,10,0
WS10,5,3.2
WS10,5,0.6
WS10,5,0.6
WS10,5,1
WS10,5,0.25
WS10,5,0.25
WS10,5,0.25
WS10,5,0.25
WS10,5,0
WS10,5,0
WS10,5,0
WS10,5,0
WS10,5,0
WS10,5,0
WS10,5,0
WS10,5,0
WS10,5,0
WS10,5,0
WS10,5,0
WS10,5,0
WS10,5,0
WS10,0,9.681528662
WS10,0,3.9
WS10,0,0.8
WS10,0,1.8
WS10,0,1.9
WS10,0,0.9
WS10,0,0
WS10,0,0
WS10,0,0
WS10,0,0
WS10,0,0
WS09,70,0.6
WS09,70,0.25
WS09,70,0.9
WS09,70,3.8
WS09,70,0.5
WS09,70,0.7
WS09,70,0.6
WS09,70,1.9
WS09,70,0.25
WS09,70,0.25
WS09,70,0.25
WS09,70,0
WS09,65,1.1
WS09,65,0.9
WS09,65,0.5
WS09,65,0
WS09,65,0
WS09,65,0
WS09,65,0
WS09,65,0
WS09,60,0
WS09,60,0
WS09,60,0
WS09,60,0
WS09,60,0
WS09,60,0
WS09,60,0
WS09,60,0
WS09,60,0
WS09,60,0
WS09,60,0
WS09,55,1.1
WS09,55,0.25
WS09,55,0
WS09,55,0
WS09,55,0
WS09,55,0
WS09,55,0
WS09,55,0
WS09,55,0
WS09,55,0
WS09,55,0
WS09,50,0.5
WS09,50,4.7
WS09,50,8.9
WS09,50,0.25
WS09,50,0
WS09,50,0
WS09,50,0
WS09,50,0
WS09,45,1.847133758
WS09,45,1
WS09,45,2.9
WS09,45,0.9
WS09,45,1.2
WS09,45,0
WS09,45,0
WS09,45,0
WS09,45,0
WS09,45,0
WS09,45,0
WS09,45,0
WS09,45,0
WS09,45,0
WS09,45,0
WS09,45,0
WS09,45,0
WS09,40,1.2
WS09,40,1.5
WS09,40,0.7
WS09,40,1
WS09,40,2.1
WS09,40,2.8
WS09,40,2.9
WS09,40,2.2
WS09,40,0.9
WS09,40,0.7
WS09,40,0
WS09,40,0
WS09,40,0
WS09,40,0
WS09,40,0
WS09,35,0.8
WS09,35,0.25
WS09,35,0.25
WS09,35,0.25
WS09,35,0.25
WS09,35,0.25
WS09,35,0.25
WS09,35,0.25
WS09,35,0.25
WS09,35,0.25
WS09,35,0.25
WS09,35,0.25
WS09,35,0.6
WS09,35,0.8
WS09,35,1.4
WS09,35,1.7
WS09,35,4.3
WS09,35,1.8
WS09,35,3.2
WS09,35,0.8
WS09,35,3.8
WS09,35,2.9
WS09,35,1.6
WS09,35,0.5
WS09,35,0.9
WS09,35,0.8
WS09,35,3.6
WS09,30,2.420382166
WS09,30,0.25
WS09,30,0.25
WS09,30,0.25
WS09,30,0.25
WS09,30,3.1
WS09,30,0.9
WS09,30,5.541401274
WS09,30,1.1
WS09,30,1.4
WS09,30,1.3
WS09,30,0.6
WS09,30,0.7
WS09,30,1.6
WS09,30,0.7
WS09,30,0.5
WS09,30,1.7
WS09,30,0.6
WS09,30,0.6
WS09,30,0.7
WS09,30,1.5
WS09,30,0.6
WS09,30,0.6
WS09,30,0.6
WS09,30,4.5
WS09,30,1
WS09,25,1
WS09,25,0.6
WS09,25,0.8
WS09,25,0.8
WS09,25,0.9
WS09,25,1.6
WS09,25,0.7
WS09,25,1.1
WS09,25,2.3
WS09,25,0.7
WS09,25,0.6
WS09,25,0.7
WS09,25,1.8
WS09,25,0.7
WS09,25,2.3
WS09,25,0.25
WS09,25,0.25
WS09,25,0.25
WS09,25,0.25
WS09,25,0.25
WS09,25,0.25
WS09,25,0.25
WS09,25,0.25
WS09,25,0.25
WS09,25,0.25
WS09,25,0.25
WS09,20,0.8
WS09,20,0.5
WS09,20,0.25
WS09,20,0
WS09,20,0
WS09,20,0
WS09,20,0
WS09,20,0
WS09,20,0
WS09,20,0
WS09,20,0
WS09,20,0
WS09,20,0
WS09,20,0
WS09,20,0
WS09,15,1.9
WS09,15,1.910828025
WS09,15,1.2
WS09,15,0.6
WS09,15,0.7
WS09,15,0.5
WS09,15,0.8
WS09,15,0.6
WS09,15,0
WS09,15,0
WS09,15,0
WS09,15,0
WS09,15,0
WS09,15,0
WS09,15,0
WS09,15,0
WS09,10,0.7
WS09,10,1.2
WS09,10,0.7
WS09,10,11.14649682
WS09,10,0.5
WS09,10,2.7
WS09,10,0.25
WS09,10,0.25
WS09,10,0.25
WS09,10,0.25
